Tematica,Nome Curso,Qtd. de Matrículas,Qtd. Inscrições Concluídas,% de Conclusão de Curso
ÁGUA E SANEAMENTO,Políticas e Práticas de Segurança de Barragens para Entidades Fiscalizadoras,579,163,"28,15%"
ANÁLISE E CIÊNCIA DE DADOS,Análise de Dados em Linguagem R,23973,6963,"29,05%"
ANÁLISE E CIÊNCIA DE DADOS,Análise de dados: uma leitura crítica das informações,4615,1093,"23,68%"
ANÁLISE E CIÊNCIA DE DADOS,Atendimento ao Cidadão,32997,23432,"71,01%"
ANÁLISE E CIÊNCIA DE DADOS,Estatística,42981,13180,"30,66%"
ANÁLISE E CIÊNCIA DE DADOS,Fundamentos da Lei Geral de Proteção de Dados,47701,11818,"24,78%"
ANÁLISE E CIÊNCIA DE DADOS,Governança de Dados,22846,10381,"45,44%"
ANÁLISE E CIÊNCIA DE DADOS,Introdução ao Excel,9151,2288,"25,00%"
ANÁLISE E CIÊNCIA DE DADOS,LGPD: Como coordenar a atuação do município para a governança de dados aplicada,2261,601,"26,58%"
ANÁLISE E CIÊNCIA DE DADOS,Matemática Financeira,46856,11418,"24,37%"
APOSENTADORIA E PREVIDÊNCIA,A Previdência Social dos Servidores Públicos: Regime Próprio e Regime de Previdência,4099,2123,"51,79%"
APOSENTADORIA E PREVIDÊNCIA,Aposentadoria e Pensão de servidores: Atualizações conforme Emenda 103/2019,4062,1113,"27,40%"
APOSENTADORIA E PREVIDÊNCIA,Censo Cadastral Previdenciário,3947,1003,"25,41%"
APOSENTADORIA E PREVIDÊNCIA,Contabilização de Benefícios,18726,8178,"43,67%"
APOSENTADORIA E PREVIDÊNCIA,Critérios do Certificado de Regularidade Previdenciária - CRP,8154,4038,"49,52%"
APOSENTADORIA E PREVIDÊNCIA,Demonstrativo de Investimentos do RPPS - DAIR E DPIN,1902,433,"22,77%"
APOSENTADORIA E PREVIDÊNCIA,eSocial para Órgãos Públicos - RPPS,16978,7233,"42,60%"
APOSENTADORIA E PREVIDÊNCIA,Funpresp - A previdência complementar do servidor público federal,5810,1985,"34,17%"
APOSENTADORIA E PREVIDÊNCIA,Funpresp para RH - A Previdência Complementar do Servidor Público Federal,6626,2645,"39,92%"
APOSENTADORIA E PREVIDÊNCIA,Gestão de Consultas e Normas GESCON - RPPS,3217,854,"26,55%"
APOSENTADORIA E PREVIDÊNCIA,Noções Básicas em Previdência Complementar,8545,2820,"33,00%"
APOSENTADORIA E PREVIDÊNCIA,Preparação para Aposentadoria - Caminhos,6111,2739,"44,82%"
APOSENTADORIA E PREVIDÊNCIA,Pró- Gestão RPPS,4295,1610,"37,49%"
COMUNICAÇÃO,Assinatura Digital,3475,1331,"38,30%"
COMUNICAÇÃO,Comunicação Pública e Comunicação de Governo,3159,1344,"42,55%"
COMUNICAÇÃO,Desenho de Cursos: Introdução ao Modelo ADDIE,12689,4768,"37,58%"
COMUNICAÇÃO,Divulgação de Compras,8577,4227,"49,28%"
COMUNICAÇÃO,Eventos Virtuais: da gestão à execução,2431,931,"38,30%"
COMUNICAÇÃO,Ferramentas de Gestão no Teletrabalho (PDP),5119,2626,"51,30%"
COMUNICAÇÃO,Formação de Conteudistas para Cursos Virtuais - Módulo 1,17502,9920,"56,68%"
COMUNICAÇÃO,Formação de Pregoeiros,45683,24951,"54,62%"
COMUNICAÇÃO,ForPDI - Plano de Desenvolvimento institucional IES,1214,389,"32,04%"
COMUNICAÇÃO,Gestão de Contratos de Tecnologia da Informação (GCTI),7906,3717,"47,01%"
COMUNICAÇÃO,Gestão e Fiscalização de Contratos Administrativos,102103,35164,"34,44%"
COMUNICAÇÃO,Introdução à Gestão de Processos,77350,38884,"50,27%"
COMUNICAÇÃO,Introdução à Interoperabilidade,6226,3108,"49,92%"
COMUNICAÇÃO,Licitações Sustentáveis,3744,1862,"49,73%"
COMUNICAÇÃO,Linguagem simples aproxima o governo das pessoas. Como usar?,18965,10146,"53,50%"
COMUNICAÇÃO,"Logística de Suprimentos - Lei nº 8.666/93, Pregão e Registro de Preços",54129,25795,"47,65%"
COMUNICAÇÃO,Mídias para Educação: produção de vídeos e lives com qualidade,294,21,"7,14%"
COMUNICAÇÃO,Para Fazer uma Exposição,17059,7873,"46,15%"
COMUNICAÇÃO,Portal Gov.br,9371,5754,"61,40%"
COMUNICAÇÃO,Programa de Gestão em Projetos Urbanos: Curso I - O Ministério das Cidades: Estruturas e Políticas sob sua responsabilidade,1445,337,"23,32%"
COMUNICAÇÃO,Programa de Gestão em Projetos Urbanos: Curso II - Projetos no Âmbito do Programa de Aceleração do Crescimento,500,160,"32,00%"
COMUNICAÇÃO,Programa de Gestão em Projetos Urbanos: Curso III - Operações decorrentes de Financiamentos,278,101,"36,33%"
COMUNICAÇÃO,"Programa de Gestão em Projetos Urbanos: Curso IV - Projetos no âmbito do Programa de Minha Casa, Minha Vida",521,163,"31,29%"
COMUNICAÇÃO,Programa de Gestão em Projetos Urbanos: Curso V - Transferências Voluntárias,580,196,"33,79%"
COMUNICAÇÃO,Regras e Fundamentos do Sistema de Concessão de Diárias e Passagens (SCDP),22615,11815,"52,24%"
COMUNICAÇÃO,Seleção de Fornecedores de Tecnologia da Informação (SFTI),3224,1789,"55,49%"
COMUNICAÇÃO,Siconv - Ordem Bancária de Transferência Voluntária (OBTV) - Convenente,6150,2409,"39,17%"
COMUNICAÇÃO,Um Por Todos e Todos Por Um,41435,29443,"71,06%"
COMUNICAÇÃO,Um Por Todos e Todos por Um - Pela Ética e Cidadania,26240,12771,"48,67%"
DESENVOLVIMENTO PESSOAL,Comunicação não violenta,16288,7066,"43,38%"
DESENVOLVIMENTO PESSOAL,"Facilitação de Reuniões, Times e Workshops no Ambiente Online",1470,454,"30,88%"
DESENVOLVIMENTO PESSOAL,Gestión Personal - Base del Liderazgo,3556,584,"16,42%"
DESENVOLVIMENTO PESSOAL,Planejamento e Organização Pessoal no Trabalho,13139,6953,"52,92%"
DESENVOLVIMENTO PESSOAL,Português - Interpretação de Texto e Emprego de Regras Gramaticais,19155,4730,"24,69%"
Direito e Legislação,Compostagem,19429,4707,"24,23%"
Direito e Legislação,Contencioso Aduaneiro e Tributário no âmbito da Receita Federal,13,8,"61,54%"
Direito e Legislação,Decreto nº 10.139/2019 Revisão e Consolidação de Atos Normativos Infralegais,7414,3377,"45,55%"
Direito e Legislação,Fiscalização Aduaneira: conceitos aplicados pela Receita Federal,27,12,"44,44%"
Direito e Legislação,Internacionalização de empresas no âmbito da Receita Federal,2,,
Direito e Legislação,Marco Regulatório das Organizações da Sociedade Civil - MROSC,8466,3126,"36,92%"
Direito e Legislação,Planejamento Sucessório e Tributário aplicado à Receita Federal,9,1,"11,11%"
Direito e Legislação,"Reorganização Societária, blindagem patrimonial e responsabilidade para a Receita Federal",7,4,"57,14%"
Direito e Legislação,Representação Fiscal para Fins Penais no âmbito da Receita Federal,8,5,"62,50%"
Direito e Legislação,Segurança em Máquinas e Equipamentos NR12,37238,11847,"31,81%"
Direito e Legislação,Segurança Química em Laboratórios de Ensino e Pesquisa,12266,6520,"53,16%"
Direito e Legislação,Técnica Legislativa,2466,1077,"43,67%"
Direito e Legislação,Técnica legislativa aplicada à Receita Federal do Brasil,343,74,"21,57%"
Direito e Legislação,"Vírus respiratórios emergentes, incluindo COVID-19: métodos para detecção, prevenção, resposta e controle",33595,23410,"69,68%"
Direitos Humanos,Acessibilidade na Comunicação,3162,1160,"36,69%"
Direitos Humanos,Acesso aos direitos fundamentais: uma abordagem da pauta indígena,7797,4550,"58,36%"
Direitos Humanos,Cidadania e Direitos Humanos,34816,16311,"46,85%"
Direitos Humanos,Conselhos de Promoção da Igualdade Racial,13455,6265,"46,56%"
Direitos Humanos,Conselhos dos Direitos da Criança e do Adolescente,14335,7310,"50,99%"
Direitos Humanos,Conselhos dos Direitos da Pessoa com Deficiência,18143,9175,"50,57%"
Direitos Humanos,Conselhos dos Direitos da Pessoa Idosa,8703,3370,"38,72%"
Direitos Humanos,Das políticas às ações: direitos da pessoa idosa no Brasil,33017,19893,"60,25%"
Direitos Humanos,"Direito à Identidade, Cidadania e Documentação",5866,3860,"65,80%"
Direitos Humanos,Direito de Proteção às Vítimas de Crimes,5174,2172,"41,98%"
Direitos Humanos,Direito e Atenção à Saúde da Pessoa Idosa,2288,1205,"52,67%"
Direitos Humanos,Direitos dos imigrantes e orientações para o atendimento,6138,2689,"43,81%"
Direitos Humanos,Direitos Humanos como ferramenta de combate à corrupção,4176,2400,"57,47%"
Direitos Humanos,Direitos Humanos da Criança e do Adolescente,28433,14827,"52,15%"
Direitos Humanos,Direitos Humanos: Uma Declaração Universal,49804,27972,"56,16%"
Direitos Humanos,Empresas e Direitos Humanos,12442,6741,"54,18%"
Direitos Humanos,Formação de conselheiros: Conselhos Tutelares,11541,5067,"43,90%"
Direitos Humanos,Formação em Políticas Públicas para a Juventude,2917,868,"29,76%"
Direitos Humanos,Formação para Voluntárias do Projeto Mães Unidas,1409,782,"55,50%"
Direitos Humanos,Formalização de Organizações Religiosas no Brasil,3729,1298,"34,81%"
Direitos Humanos,Garantia de Direitos e Atenção à Pessoa Idosa,6194,4088,"66,00%"
Direitos Humanos,Gestão de Conselhos de Direitos Humanos,7294,3415,"46,82%"
Direitos Humanos,Introdução à Libras,347798,117773,"33,86%"
Direitos Humanos,Liberdade Religiosa e Estado Laico,3845,1536,"39,95%"
Direitos Humanos,Noções Introdutórias em Equilíbrio trabalho-família,850,425,"50,00%"
Direitos Humanos,O Papel das Comunidades Terapêuticas na Garantia dos Direitos Humanos,2857,1414,"49,49%"
Direitos Humanos,Panorama Teórico dos Direitos Humanos no Brasil,6854,3735,"54,49%"
