uf_codigo_ibge, ano, esfera, poder,quantidade_de_vinculos
11,2012,Estadual,Executivo,57662
11,2012,Estadual,Judiciário,3561
11,2012,Estadual,Legislativo,2648
11,2012,Federal,Executivo,8911
11,2012,Federal,Judiciário,1448
11,2012,Federal,Legislativo,0
11,2012,Municipal,Executivo,57717
11,2012,Municipal,Legislativo,2500
11,2013,Estadual,Executivo,57939
11,2013,Estadual,Judiciário,3911
11,2013,Estadual,Legislativo,4126
11,2013,Federal,Executivo,8669
11,2013,Federal,Judiciário,1447
11,2013,Federal,Legislativo,0
11,2013,Municipal,Executivo,56186
11,2013,Municipal,Legislativo,2375
11,2014,Estadual,Executivo,55662
11,2014,Estadual,Judiciário,4013
11,2014,Estadual,Legislativo,2698
11,2014,Federal,Executivo,10783
11,2014,Federal,Judiciário,1645
11,2014,Federal,Legislativo,0
11,2014,Municipal,Executivo,55894
11,2014,Municipal,Legislativo,2018
11,2015,Estadual,Executivo,56213
11,2015,Estadual,Judiciário,4539
11,2015,Estadual,Legislativo,3824
11,2015,Federal,Executivo,8856
11,2015,Federal,Judiciário,1503
11,2015,Federal,Legislativo,0
11,2015,Municipal,Executivo,54723
11,2015,Municipal,Legislativo,2256
11,2016,Estadual,Executivo,54787
11,2016,Estadual,Judiciário,4648
11,2016,Estadual,Legislativo,3090
11,2016,Federal,Executivo,9894
11,2016,Federal,Judiciário,1541
11,2016,Federal,Legislativo,0
11,2016,Municipal,Executivo,53384
11,2016,Municipal,Legislativo,2170
11,2017,Estadual,Executivo,55152
11,2017,Estadual,Judiciário,4368
11,2017,Estadual,Legislativo,3203
11,2017,Federal,Executivo,11626
11,2017,Federal,Judiciário,1730
11,2017,Federal,Legislativo,0
11,2017,Municipal,Executivo,55728
11,2017,Municipal,Legislativo,1953
11,2018,Estadual,Executivo,49139
11,2018,Estadual,Judiciário,4702
11,2018,Estadual,Legislativo,3548
11,2018,Federal,Executivo,13103
11,2018,Federal,Judiciário,637
11,2018,Federal,Legislativo,0
11,2018,Municipal,Executivo,54330
11,2018,Municipal,Legislativo,1948
11,2019,Estadual,Executivo,46331
11,2019,Estadual,Judiciário,4760
11,2019,Estadual,Legislativo,4754
11,2019,Federal,Executivo,13164
11,2019,Federal,Judiciário,1446
11,2019,Federal,Legislativo,0
11,2019,Municipal,Executivo,54814
11,2019,Municipal,Legislativo,2058
12,2012,Estadual,Executivo,39213
12,2012,Estadual,Judiciário,2214
12,2012,Estadual,Legislativo,1089
12,2012,Federal,Executivo,2793
12,2012,Federal,Judiciário,344
12,2012,Federal,Legislativo,0
12,2012,Municipal,Executivo,17810
12,2012,Municipal,Legislativo,413
12,2013,Estadual,Executivo,36137
12,2013,Estadual,Judiciário,2293
12,2013,Estadual,Legislativo,1241
12,2013,Federal,Executivo,1930
12,2013,Federal,Judiciário,299
12,2013,Federal,Legislativo,0
12,2013,Municipal,Executivo,19554
12,2013,Municipal,Legislativo,345
12,2014,Estadual,Executivo,37777
12,2014,Estadual,Judiciário,2470
12,2014,Estadual,Legislativo,821
12,2014,Federal,Executivo,3453
12,2014,Federal,Judiciário,354
12,2014,Federal,Legislativo,0
12,2014,Municipal,Executivo,20095
12,2014,Municipal,Legislativo,289
12,2015,Estadual,Executivo,39012
12,2015,Estadual,Judiciário,2546
12,2015,Estadual,Legislativo,1402
12,2015,Federal,Executivo,3606
12,2015,Federal,Judiciário,339
12,2015,Federal,Legislativo,0
12,2015,Municipal,Executivo,20980
12,2015,Municipal,Legislativo,387
12,2016,Estadual,Executivo,35989
12,2016,Estadual,Judiciário,2559
12,2016,Estadual,Legislativo,1073
12,2016,Federal,Executivo,3730
12,2016,Federal,Judiciário,354
12,2016,Federal,Legislativo,0
12,2016,Municipal,Executivo,21271
12,2016,Municipal,Legislativo,354
12,2017,Estadual,Executivo,37345
12,2017,Estadual,Judiciário,2484
12,2017,Estadual,Legislativo,1077
12,2017,Federal,Executivo,3750
12,2017,Federal,Judiciário,335
12,2017,Federal,Legislativo,0
12,2017,Municipal,Executivo,23396
12,2017,Municipal,Legislativo,390
12,2018,Estadual,Executivo,37619
12,2018,Estadual,Judiciário,2441
12,2018,Estadual,Legislativo,1289
12,2018,Federal,Executivo,3808
12,2018,Federal,Judiciário,348
12,2018,Federal,Legislativo,0
12,2018,Municipal,Executivo,22855
12,2018,Municipal,Legislativo,473
12,2019,Estadual,Executivo,32656
12,2019,Estadual,Judiciário,2502
12,2019,Estadual,Legislativo,199
12,2019,Federal,Executivo,1930
12,2019,Federal,Judiciário,327
12,2019,Federal,Legislativo,0
12,2019,Municipal,Executivo,21832
12,2019,Municipal,Legislativo,555
13,2012,Estadual,Executivo,88736
13,2012,Estadual,Judiciário,2693
13,2012,Estadual,Legislativo,3711
13,2012,Federal,Executivo,15178
13,2012,Federal,Judiciário,1817
13,2012,Federal,Legislativo,0
13,2012,Municipal,Executivo,102318
13,2012,Municipal,Legislativo,3242
13,2013,Estadual,Executivo,87173
13,2013,Estadual,Judiciário,2689
13,2013,Estadual,Legislativo,4017
13,2013,Federal,Executivo,16020
13,2013,Federal,Judiciário,1792
13,2013,Federal,Legislativo,0
13,2013,Municipal,Executivo,109324
13,2013,Municipal,Legislativo,3346
13,2014,Estadual,Executivo,86285
13,2014,Estadual,Judiciário,2915
13,2014,Estadual,Legislativo,3127
13,2014,Federal,Executivo,16361
13,2014,Federal,Judiciário,1813
13,2014,Federal,Legislativo,0
13,2014,Municipal,Executivo,111026
13,2014,Municipal,Legislativo,3368
13,2015,Estadual,Executivo,85228
13,2015,Estadual,Judiciário,3414
13,2015,Estadual,Legislativo,3959
13,2015,Federal,Executivo,15813
13,2015,Federal,Judiciário,1856
13,2015,Federal,Legislativo,0
13,2015,Municipal,Executivo,114604
13,2015,Municipal,Legislativo,3892
13,2016,Estadual,Executivo,81803
13,2016,Estadual,Judiciário,3484
13,2016,Estadual,Legislativo,3777
13,2016,Federal,Executivo,15328
13,2016,Federal,Judiciário,1792
13,2016,Federal,Legislativo,0
13,2016,Municipal,Executivo,116918
13,2016,Municipal,Legislativo,3924
13,2017,Estadual,Executivo,83507
13,2017,Estadual,Judiciário,3513
13,2017,Estadual,Legislativo,4017
13,2017,Federal,Executivo,15617
13,2017,Federal,Judiciário,1875
13,2017,Federal,Legislativo,0
13,2017,Municipal,Executivo,126399
13,2017,Municipal,Legislativo,3893
13,2018,Estadual,Executivo,81026
13,2018,Estadual,Judiciário,3919
13,2018,Estadual,Legislativo,4018
13,2018,Federal,Executivo,16845
13,2018,Federal,Judiciário,1734
13,2018,Federal,Legislativo,0
13,2018,Municipal,Executivo,136906
13,2018,Municipal,Legislativo,3866
13,2019,Estadual,Executivo,79196
13,2019,Estadual,Judiciário,3883
13,2019,Estadual,Legislativo,4898
13,2019,Federal,Executivo,17171
13,2019,Federal,Judiciário,1695
13,2019,Federal,Legislativo,0
13,2019,Municipal,Executivo,131519
13,2019,Municipal,Legislativo,4566
14,2012,Estadual,Executivo,19085
14,2012,Estadual,Judiciário,1274
14,2012,Estadual,Legislativo,4145
14,2012,Federal,Executivo,8629
14,2012,Federal,Judiciário,278
14,2012,Federal,Legislativo,0
14,2012,Municipal,Executivo,16220
14,2012,Municipal,Legislativo,849
14,2013,Estadual,Executivo,20472
14,2013,Estadual,Judiciário,1379
14,2013,Estadual,Legislativo,4007
14,2013,Federal,Executivo,8399
14,2013,Federal,Judiciário,260
14,2013,Federal,Legislativo,0
14,2013,Municipal,Executivo,16972
14,2013,Municipal,Legislativo,899
14,2014,Estadual,Executivo,20339
14,2014,Estadual,Judiciário,1407
14,2014,Estadual,Legislativo,4299
14,2014,Federal,Executivo,8332
14,2014,Federal,Judiciário,271
14,2014,Federal,Legislativo,0
14,2014,Municipal,Executivo,16406
14,2014,Municipal,Legislativo,658
14,2015,Estadual,Executivo,20014
14,2015,Estadual,Judiciário,1428
14,2015,Estadual,Legislativo,3743
14,2015,Federal,Executivo,8396
14,2015,Federal,Judiciário,281
14,2015,Federal,Legislativo,0
14,2015,Municipal,Executivo,18885
14,2015,Municipal,Legislativo,939
14,2016,Estadual,Executivo,20322
14,2016,Estadual,Judiciário,1480
14,2016,Estadual,Legislativo,3662
14,2016,Federal,Executivo,8278
14,2016,Federal,Judiciário,287
14,2016,Federal,Legislativo,0
14,2016,Municipal,Executivo,17688
14,2016,Municipal,Legislativo,905
14,2017,Estadual,Executivo,21255
14,2017,Estadual,Judiciário,1591
14,2017,Estadual,Legislativo,3604
14,2017,Federal,Executivo,8226
14,2017,Federal,Judiciário,300
14,2017,Federal,Legislativo,0
14,2017,Municipal,Executivo,18942
14,2017,Municipal,Legislativo,787
14,2018,Estadual,Executivo,21173
14,2018,Estadual,Judiciário,1634
14,2018,Estadual,Legislativo,4254
14,2018,Federal,Executivo,8006
14,2018,Federal,Judiciário,290
14,2018,Federal,Legislativo,0
14,2018,Municipal,Executivo,19430
14,2018,Municipal,Legislativo,855
14,2019,Estadual,Executivo,21032
14,2019,Estadual,Judiciário,1749
14,2019,Estadual,Legislativo,3966
14,2019,Federal,Executivo,7718
14,2019,Federal,Judiciário,266
14,2019,Federal,Legislativo,0
14,2019,Municipal,Executivo,24108
14,2019,Municipal,Legislativo,882
15,2012,Estadual,Executivo,85400
15,2012,Estadual,Judiciário,6018
15,2012,Estadual,Legislativo,4591
15,2012,Federal,Executivo,22833
15,2012,Federal,Judiciário,2708
15,2012,Federal,Legislativo,0
15,2012,Municipal,Executivo,272827
15,2012,Municipal,Legislativo,4636
15,2013,Estadual,Executivo,110920
15,2013,Estadual,Judiciário,6612
15,2013,Estadual,Legislativo,4843
15,2013,Federal,Executivo,23621
15,2013,Federal,Judiciário,2312
15,2013,Federal,Legislativo,0
15,2013,Municipal,Executivo,283800
15,2013,Municipal,Legislativo,4848
15,2014,Estadual,Executivo,104860
15,2014,Estadual,Judiciário,6366
15,2014,Estadual,Legislativo,4645
15,2014,Federal,Executivo,23832
15,2014,Federal,Judiciário,2803
15,2014,Federal,Legislativo,0
15,2014,Municipal,Executivo,295001
15,2014,Municipal,Legislativo,4518
15,2015,Estadual,Executivo,106030
15,2015,Estadual,Judiciário,6835
15,2015,Estadual,Legislativo,5359
15,2015,Federal,Executivo,23131
15,2015,Federal,Judiciário,2900
15,2015,Federal,Legislativo,0
15,2015,Municipal,Executivo,293048
15,2015,Municipal,Legislativo,4815
15,2016,Estadual,Executivo,104710
15,2016,Estadual,Judiciário,7114
15,2016,Estadual,Legislativo,4854
15,2016,Federal,Executivo,24516
15,2016,Federal,Judiciário,2872
15,2016,Federal,Legislativo,0
15,2016,Municipal,Executivo,285629
15,2016,Municipal,Legislativo,4958
15,2017,Estadual,Executivo,105970
15,2017,Estadual,Judiciário,7366
15,2017,Estadual,Legislativo,4908
15,2017,Federal,Executivo,25751
15,2017,Federal,Judiciário,2890
15,2017,Federal,Legislativo,0
15,2017,Municipal,Executivo,302906
15,2017,Municipal,Legislativo,5839
15,2018,Estadual,Executivo,107178
15,2018,Estadual,Judiciário,7681
15,2018,Estadual,Legislativo,4629
15,2018,Federal,Executivo,26505
15,2018,Federal,Judiciário,2909
15,2018,Federal,Legislativo,0
15,2018,Municipal,Executivo,300858
15,2018,Municipal,Legislativo,5586
15,2019,Estadual,Executivo,107479
15,2019,Estadual,Judiciário,7433
15,2019,Estadual,Legislativo,5111
15,2019,Federal,Executivo,24207
15,2019,Federal,Judiciário,2805
15,2019,Federal,Legislativo,0
15,2019,Municipal,Executivo,305771
15,2019,Municipal,Legislativo,6409
16,2012,Estadual,Executivo,22600
16,2012,Estadual,Judiciário,1385
16,2012,Estadual,Legislativo,4700
16,2012,Federal,Executivo,8517
16,2012,Federal,Judiciário,334
16,2012,Federal,Legislativo,0
16,2012,Municipal,Executivo,16115
16,2012,Municipal,Legislativo,716
16,2013,Estadual,Executivo,20091
16,2013,Estadual,Judiciário,1872
16,2013,Estadual,Legislativo,3679
16,2013,Federal,Executivo,8681
16,2013,Federal,Judiciário,354
16,2013,Federal,Legislativo,0
16,2013,Municipal,Executivo,18026
16,2013,Municipal,Legislativo,829
16,2014,Estadual,Executivo,23592
16,2014,Estadual,Judiciário,1946
16,2014,Estadual,Legislativo,3918
16,2014,Federal,Executivo,8617
16,2014,Federal,Judiciário,360
16,2014,Federal,Legislativo,0
16,2014,Municipal,Executivo,18165
16,2014,Municipal,Legislativo,985
16,2015,Estadual,Executivo,21401
16,2015,Estadual,Judiciário,1920
16,2015,Estadual,Legislativo,4512
16,2015,Federal,Executivo,8394
16,2015,Federal,Judiciário,384
16,2015,Federal,Legislativo,0
16,2015,Municipal,Executivo,15318
16,2015,Municipal,Legislativo,1181
16,2016,Estadual,Executivo,35933
16,2016,Estadual,Judiciário,1878
16,2016,Estadual,Legislativo,4202
16,2016,Federal,Executivo,8925
16,2016,Federal,Judiciário,396
16,2016,Federal,Legislativo,0
16,2016,Municipal,Executivo,14105
16,2016,Municipal,Legislativo,1315
16,2017,Estadual,Executivo,36634
16,2017,Estadual,Judiciário,1918
16,2017,Estadual,Legislativo,3542
16,2017,Federal,Executivo,9533
16,2017,Federal,Judiciário,399
16,2017,Federal,Legislativo,0
16,2017,Municipal,Executivo,16042
16,2017,Municipal,Legislativo,923
16,2018,Estadual,Executivo,36068
16,2018,Estadual,Judiciário,1879
16,2018,Estadual,Legislativo,3560
16,2018,Federal,Executivo,9923
16,2018,Federal,Judiciário,395
16,2018,Federal,Legislativo,0
16,2018,Municipal,Executivo,15315
16,2018,Municipal,Legislativo,821
16,2019,Estadual,Executivo,37398
16,2019,Estadual,Judiciário,2042
16,2019,Estadual,Legislativo,3292
16,2019,Federal,Executivo,9506
16,2019,Federal,Judiciário,393
16,2019,Federal,Legislativo,0
16,2019,Municipal,Executivo,13434
16,2019,Municipal,Legislativo,1728
17,2012,Estadual,Executivo,53285
17,2012,Estadual,Judiciário,3251
17,2012,Estadual,Legislativo,2834
17,2012,Federal,Executivo,4432
17,2012,Federal,Judiciário,533
17,2012,Federal,Legislativo,0
17,2012,Municipal,Executivo,63945
17,2012,Municipal,Legislativo,1832
17,2013,Estadual,Executivo,51326
17,2013,Estadual,Judiciário,3408
17,2013,Estadual,Legislativo,4231
17,2013,Federal,Executivo,4715
17,2013,Federal,Judiciário,492
17,2013,Federal,Legislativo,0
17,2013,Municipal,Executivo,66302
17,2013,Municipal,Legislativo,1653
17,2014,Estadual,Executivo,57988
17,2014,Estadual,Judiciário,3195
17,2014,Estadual,Legislativo,2883
17,2014,Federal,Executivo,5048
17,2014,Federal,Judiciário,554
17,2014,Federal,Legislativo,0
17,2014,Municipal,Executivo,66971
17,2014,Municipal,Legislativo,1626
17,2015,Estadual,Executivo,60415
17,2015,Estadual,Judiciário,3100
17,2015,Estadual,Legislativo,3577
17,2015,Federal,Executivo,5241
17,2015,Federal,Judiciário,543
17,2015,Federal,Legislativo,0
17,2015,Municipal,Executivo,64388
17,2015,Municipal,Legislativo,1819
17,2016,Estadual,Executivo,60172
17,2016,Estadual,Judiciário,3340
17,2016,Estadual,Legislativo,3687
17,2016,Federal,Executivo,5260
17,2016,Federal,Judiciário,573
17,2016,Federal,Legislativo,0
17,2016,Municipal,Executivo,61321
17,2016,Municipal,Legislativo,1949
17,2017,Estadual,Executivo,69235
17,2017,Estadual,Judiciário,3381
17,2017,Estadual,Legislativo,3023
17,2017,Federal,Executivo,5385
17,2017,Federal,Judiciário,560
17,2017,Federal,Legislativo,0
17,2017,Municipal,Executivo,66785
17,2017,Municipal,Legislativo,2078
17,2018,Estadual,Executivo,64217
17,2018,Estadual,Judiciário,3357
17,2018,Estadual,Legislativo,3445
17,2018,Federal,Executivo,5358
17,2018,Federal,Judiciário,688
17,2018,Federal,Legislativo,0
17,2018,Municipal,Executivo,66017
17,2018,Municipal,Legislativo,2101
17,2019,Estadual,Executivo,56683
17,2019,Estadual,Judiciário,3537
17,2019,Estadual,Legislativo,4132
17,2019,Federal,Executivo,5348
17,2019,Federal,Judiciário,586
17,2019,Federal,Legislativo,0
17,2019,Municipal,Executivo,61880
17,2019,Municipal,Legislativo,2406
21,2012,Estadual,Executivo,76426
21,2012,Estadual,Judiciário,3996
21,2012,Estadual,Legislativo,2960
